,genre_ids,ids,popularity,release_date,release_year,title,vote_average,genre,url poster1,filename,primary_color,rgb
0,28,335409,1.6489779999999998,2015-11-04,2015,Sharkansas Women's Prison Massacre,5.7,action,http://image.tmdb.org/t/p/w500/mfoG2YW9HyA6zr1NNqx3UtHVc7k.jpg,335409_1.jpg,wheat,"(223, 201, 177)"
1,28,30673,1.112182,1976-12-13,1976,Victory at Entebbe,2.0,action,http://image.tmdb.org/t/p/w500/ka67dUEci9nBVMKH99AhtqJu7fl.jpg,30673_1.jpg,wheat,"(228, 203, 187)"
2,28,87609,1.000942,2000-04-23,2000,Duct Wars: The Silver Enemy,0.0,action,http://image.tmdb.org/t/p/w500/4yZQt6wra8Vn9Uk2L5PV74damK2.jpg,87609_1.jpg,black,"(26, 38, 33)"
3,28,85611,1.139685,1959-12-04,1959,The Stranglers of Bombay,6.0,action,http://image.tmdb.org/t/p/w500/pQPz9R7Fr5FwEqe4FU4WrE2G3ba.jpg,85611_1.jpg,darkkhaki,"(192, 184, 108)"
4,28,299730,1.003144,2014-10-07,2014,The Dead the Damned and the Darkness,5.1,action,http://image.tmdb.org/t/p/w500/xfeQil3mlg1M7RU6LUPbNFUQRxR.jpg,299730_1.jpg,darksalmon,"(212, 157, 124)"
5,28,144376,1.005176,1966-11-01,1966,Kill or Be Killed,0.0,action,http://image.tmdb.org/t/p/w500/jIZ1mw4tWH9grRPvmGQXh84PNCk.jpg,144376_1.jpg,darkslategray,"(51, 50, 52)"
6,28,270769,1.015263,2015-10-09,2015,Andhadhi,2.8,action,http://image.tmdb.org/t/p/w500/3fCmEMxWXKFWMUI8YlgDFXeeRtA.jpg,270769_1.jpg,darkslategray,"(66, 75, 70)"
7,28,350872,1.001878,2013-09-14,2013,"Los Caminantes, Revelación",4.0,action,http://image.tmdb.org/t/p/w500/6hJzdtwRyDr08PFYMWJqXPV2WDw.jpg,350872_1.jpg,lightgrey,"(218, 211, 213)"
8,28,54437,1.001256,2009-10-13,2009,The Blood of Rebirth,5.0,action,http://image.tmdb.org/t/p/w500/sYp7KmauisjOSqR1XPUQoW58iSm.jpg,54437_1.jpg,darkgreen,"(38, 63, 21)"
9,28,141883,1.000008,1980-11-29,1980,The Beasts,0.0,action,http://image.tmdb.org/t/p/w500/d0kzIgAnku835zHEdslVr94m9zc.jpg,141883_1.jpg,royalblue,"(30, 95, 192)"
10,28,44745,1.159048,2010-08-31,2010,Beatdown,5.1,action,http://image.tmdb.org/t/p/w500/jIUSRvNgih0ZWlq8Z2iE96Vq9q7.jpg,44745_1.jpg,darksalmon,"(211, 165, 114)"
11,28,10762,1.877854,2004-08-20,2004,Without a Paddle,5.3,action,http://image.tmdb.org/t/p/w500/3s93T4g2HKTrtk1IjIJEFSrl9va.jpg,10762_1.jpg,darkslategray,"(25, 62, 65)"
12,28,251856,1.000016,1973-06-23,1973,The Virgins,0.0,action,http://image.tmdb.org/t/p/w500/jKyvSZcAKfgaUh9DPGvXMVCyeAT.jpg,251856_1.jpg,darkslategray,"(53, 58, 35)"
